tweet;created_at;source
RT @Dc_da_depressao: Quando o assunto é o Batman, a internet tá desse jeito https://t.co/vmVx046wnO;2022-05-21 02:05:23+00:00;Twitter for Android
E tipo eu nem duvido que possa ser uma série bem dirigida e com um roteiro pica mas o medo que o pessoal tem de fazer o Batman parecer um super herói mesmo;2022-05-21 02:04:59+00:00;Twitter for Android
RT @Dc_da_depressao: Quando o assunto é o Batman, a internet tá desse jeito https://t.co/vmVx046wnO;2022-05-21 02:04:13+00:00;Twitter for Android
minha namorada me deu um batman de presente do NADA, sem eu menos esperar, como eu amei;2022-05-21 02:04:04+00:00;Twitter for iPhone
The Batman é sensacional, apenas;2022-05-21 02:03:32+00:00;Twitter for iPhone
@_desirrerocha Nada a ver... Acho que ainda vai dar tempo de ver Batman o Cavaleiro das Trevas 1 kkkkk;2022-05-21 02:02:39+00:00;Twitter for Android
Nossa o dia hj foi mt bom, cai contra o alanzoka w ganhei dele, peguei top 50 mundial de Batman no multiversus aiai;2022-05-21 02:02:26+00:00;Twitter for Android
4 caixa de original, eu quero ser o batman se eu não beber isso tudo;2022-05-21 02:02:25+00:00;Twitter for iPhone
RT @LegiaoDosHerois: O ano é 2022. Batman do Ben Affleck e o Sonic Feio estão em um filme do Tico e Teco. É esse o tweet. https://t.co/0qnF…;2022-05-21 02:02:13+00:00;Twitter for Android
RT @LegiaoDosHerois: O ano é 2022. Batman do Ben Affleck e o Sonic Feio estão em um filme do Tico e Teco. É esse o tweet. https://t.co/0qnF…;2022-05-21 02:01:59+00:00;Twitter for Android
O pessoal leva Batman a sério de mais do jeito errado e tira toda graça dos uniformes exagerados e dos mlk fazendo acrobacia por nada;2022-05-21 02:01:52+00:00;Twitter for Android
"RT @almanaquedisney: Alguns dos milhões de cameos em ‘Tico e Teco: Defensores da Lei’:

• Sonic Feio
• Paul Rudd
• Batman
• Pumba, Mestre L…";2022-05-21 02:01:47+00:00;Twitter for Android
o filme do batman tá pica msm mas chega não kkkkkkk o super herói mais chocho;2022-05-21 02:01:17+00:00;Twitter for iPhone
@oierei Tu vai ser o novo batman?;2022-05-21 02:01:11+00:00;Twitter for iPhone
O NOVO FILME DO BATMAN É LACRADOR? (REACT MACHO GEEK) https://t.co/X8N2sc9K99 via @YouTube;2022-05-21 02:00:32+00:00;Twitter Web App
Único defeito da foto é o batman https://t.co/xRl5wZYV7c;2022-05-21 02:00:30+00:00;Twitter for Android
@Tulipanarcisa Só colocava o melhor Batman que fica perfeito https://t.co/NjhgCZ7MlI;2022-05-21 01:59:39+00:00;Twitter Web App
RT @JniorAb68912176: Ei @WagnerThomazoni já que incomoda tanto um personagem negro tendo moral e sendo uma pessoa boa, eu gostaria de te di…;2022-05-21 01:59:25+00:00;Twitter for Android
@Jefferson73738 batman eh foda;2022-05-21 01:59:21+00:00;Twitter for Android
"@joukimedalhista eu vivo nas sombras, não tenho medo do escuro

(nem OUSE fazer alguma piada com batman joui jouki";2022-05-21 01:59:15+00:00;Twitter Web App
RT @LegiaoDosHerois: O ano é 2022. Batman do Ben Affleck e o Sonic Feio estão em um filme do Tico e Teco. É esse o tweet. https://t.co/0qnF…;2022-05-21 01:58:43+00:00;Twitter for iPhone
"@FrancyarleyPer2 @leogamaadv @emirsader @gduvivier @cirogomes O sgt.Garcia prendeu o Zorro? O Lex Luthor matou o Superman?
O coiote jantou Road Runner? O Dick Vigarista ganhou uma? O Charada prendeu o Batman?";2022-05-21 01:58:39+00:00;Twitter for Android
The Batman é um filmão do caralho;2022-05-21 01:58:27+00:00;Twitter for Android
RT @JniorAb68912176: Ei @WagnerThomazoni já que incomoda tanto um personagem negro tendo moral e sendo uma pessoa boa, eu gostaria de te di…;2022-05-21 01:57:35+00:00;Twitter for iPhone
@TommyShepherdBR Ele parece o pinguim do batman com anorexia irmão sksksksks;2022-05-21 01:57:34+00:00;Twitter for Android
"bingo de filmes INCEL

fight club ✅
taxi driver ✅
scarface ❌
pulp fiction ✅
psicopata americano ✅
matrix ✅
drive ✅
donnie darko ✅
lobo de w. street ✅
500 dias com ela ❌
joker ✅
o abutre ✅
o farol ✅
ilha do medo ✅
a outra história americana ❌
the batman ❌ https://t.co/rNtbXdKUXG";2022-05-21 01:57:34+00:00;Twitter for Android
@Keruvim__ os dois de cima solam the batman;2022-05-21 01:56:54+00:00;Twitter for iPhone
"Continuando batman

https://t.co/o49m0Y1Jj5";2022-05-21 01:56:31+00:00;Twitter for Android
"@LucasRavelli11 @imlxcs @mrfahrenheit777 @Dc_da_depressao Eu não sou contra o Batman ter perdido, eu só não gosto que ele perdeu por conta de incompetência.

Toda justificativa, como inexperiência ou ele ter feito um salvamento do dia meia boca não mudam que ele foi incompetente.";2022-05-21 01:56:22+00:00;Twitter for Android
Vamos ver se esse filme do Batman é bom mesmo;2022-05-21 01:56:18+00:00;Twitter for Android
RT @LegiaoDosHerois: O ano é 2022. Batman do Ben Affleck e o Sonic Feio estão em um filme do Tico e Teco. É esse o tweet. https://t.co/0qnF…;2022-05-21 01:55:09+00:00;Twitter for Android
